rcid,unres,date,year,me,nu,di,co,hr,ec,developed_abstain,developed_yes,developed_no,developed_absent,developed_not_member,undeveloped_abstain,undeveloped_yes,undeveloped_no,undeveloped_absent,undeveloped_not_member
3,R/1/66,1946-01-01,1946,0,0,0,0,0,0,0,0,0,0,0,4,29,18,0,146
4,R/1/79,1946-01-02,1946,0,0,0,0,0,0,0,0,0,0,0,8,9,34,0,146
5,R/1/98,1946-01-04,1946,0,0,0,0,0,0,0,0,0,0,0,1,28,22,0,146
6,R/1/107,1946-01-04,1946,0,0,0,0,1,0,0,0,0,0,0,10,12,27,2,146
7,R/1/295,1946-01-02,1946,0,0,0,0,0,0,0,0,0,0,0,0,25,18,8,146
8,R/1/297,1946-01-05,1946,0,0,0,0,0,1,0,0,0,0,0,2,38,1,10,146
9,R/1/329,1946-02-05,1946,0,0,0,0,0,0,0,0,0,0,0,2,45,0,4,146
10,R/1/361,1946-02-05,1946,0,0,0,0,0,0,0,0,0,0,0,0,46,2,3,146
11,R/1/376,1946-02-05,1946,0,0,0,1,0,1,0,0,0,0,0,0,41,0,10,146
12,R/1/394,1946-02-06,1946,0,0,0,0,0,0,0,0,0,0,0,3,21,22,5,146
13,R/1/434,1946-02-01,1946,0,0,0,0,0,0,0,0,0,0,0,2,10,31,8,146
14,R/1/435,1946-02-01,1946,0,0,0,0,0,0,0,0,0,0,0,5,7,30,9,146
15,R/1/435,1946-02-01,1946,0,0,0,0,0,0,0,0,0,0,0,6,10,26,9,146
16,R/1/467,1946-02-02,1946,0,0,0,0,0,0,0,0,0,0,0,7,7,34,3,146
17,R/1/467B,1946-02-02,1946,0,0,0,0,0,0,0,0,0,0,0,2,27,19,3,146
18,R/1/532,1946-02-03,1946,0,0,0,0,0,1,0,0,0,0,0,9,12,26,4,146
19,R/1/534,1946-02-03,1946,0,0,0,0,0,1,0,0,0,0,0,11,32,6,2,146
20,R/1/1060,1946-12-01,1946,0,0,0,0,0,0,0,0,0,0,0,1,29,24,1,142
21,R/1/1061A,1946-12-01,1946,0,0,0,0,0,0,0,0,0,0,0,2,21,31,1,142
22,R/1/1061B,1946-12-01,1946,0,0,0,0,0,0,0,0,0,0,0,7,32,15,1,142
23,R/1/1222,1946-12-05,1946,0,0,0,0,0,0,0,0,0,0,0,13,34,6,2,142
24,R/1/1229,1946-12-05,1946,0,0,0,0,0,1,0,0,0,0,0,9,36,4,6,142
25,R/1/1264,1946-12-06,1946,0,0,0,0,0,0,0,0,0,0,0,9,36,6,4,142
26,R/1/1286,1946-12-06,1946,0,0,0,1,0,0,0,0,0,0,0,11,6,34,4,142
27,R/1/1287/A,1946-12-06,1946,0,0,0,1,0,0,0,0,0,0,0,5,41,6,3,142
28,R/1/1287/B,1946-12-06,1946,0,0,0,1,0,0,0,0,0,0,0,5,41,6,3,142
29,R/1/1287C,1946-12-06,1946,0,0,0,1,0,0,0,0,0,0,0,6,41,5,3,142
30,R/1/1288A,1946-12-06,1946,0,0,0,1,0,0,0,0,0,0,0,6,41,5,3,142
31,GOAR/1/1288B,1946-12-06,1946,0,0,0,1,0,0,0,0,0,0,0,5,41,6,3,142
32,R/1/1288C,1946-12-06,1946,0,0,0,1,0,0,0,0,0,0,0,5,41,6,3,142
33,R/1/1288D,1946-12-06,1946,0,0,0,1,0,0,0,0,0,0,0,5,41,6,3,142
34,R/1/1288E,1946-12-06,1946,0,0,0,1,0,0,0,0,0,0,0,5,41,6,3,142
35,R/1/1327,1946-12-07,1946,0,0,0,1,0,0,0,0,0,0,0,9,37,0,9,142
36,R/1/1355,1946-12-07,1946,0,0,0,1,0,0,0,0,0,0,0,4,25,24,2,142
37,R/1/1356,1946-12-07,1946,0,0,0,1,0,1,0,0,0,0,0,17,23,14,1,142
38,R/1/1357,1946-12-07,1946,0,0,0,1,0,0,0,0,0,0,0,21,31,1,2,142
